party,electoral_district,list_position
CDU,Neukölln,8
CDU,Treptow-Köpenick,4
CDU,Treptow-Köpenick,5
CDU,Treptow-Köpenick,6
CDU,Treptow-Köpenick,7
CDU,Marzahn-Hellersdorf,4
CDU,Marzahn-Hellersdorf,5
CDU,Marzahn-Hellersdorf,6
CDU,Marzahn-Hellersdorf,7
CDU,Marzahn-Hellersdorf,8
CDU,Lichtenberg,4
CDU,Lichtenberg,5
CDU,Lichtenberg,6
CDU,Reinickendorf,7
CDU,Reinickendorf,8
CDU,Reinickendorf,9
CDU,Reinickendorf,10
CDU,Reinickendorf,11
GRÜNE,x,18
GRÜNE,x,19
GRÜNE,x,20
GRÜNE,x,21
GRÜNE,x,23
GRÜNE,x,25
GRÜNE,x,27
GRÜNE,x,28
GRÜNE,x,32
GRÜNE,x,33
GRÜNE,x,34
GRÜNE,x,37
GRÜNE,x,39
GRÜNE,x,40
GRÜNE,x,41
GRÜNE,x,42
GRÜNE,x,44
GRÜNE,x,45
GRÜNE,x,46
GRÜNE,x,47
GRÜNE,x,48
GRÜNE,x,50
GRÜNE,x,52
GRÜNE,x,53
GRÜNE,x,54
GRÜNE,x,55
GRÜNE,x,56
GRÜNE,x,57
GRÜNE,x,58
GRÜNE,x,59
GRÜNE,x,60
DIE LINKE,x,21
DIE LINKE,x,22
DIE LINKE,x,23
DIE LINKE,x,24
DIE LINKE,x,25
DIE LINKE,x,27
DIE LINKE,x,28
DIE LINKE,x,30
DIE LINKE,x,31
DIE LINKE,x,32
DIE LINKE,x,33
DIE LINKE,x,34
DIE LINKE,x,35
DIE LINKE,x,36
DIE LINKE,x,37
DIE LINKE,x,38
DIE LINKE,x,39
DIE LINKE,x,40
DIE LINKE,x,41
DIE LINKE,x,42
DIE LINKE,x,43
DIE LINKE,x,44
DIE LINKE,x,45
AfD,x,17
AfD,x,18
AfD,x,19
AfD,x,20
AfD,x,22
AfD,x,23
AfD,x,24
AfD,x,25
AfD,x,26
AfD,x,27
AfD,x,28
AfD,x,29
AfD,x,30
